,Publication Title,All Science Classification Codes (ASJC),Item Title,Publication Year,in/out,use types,census,notes
1213,Procedia Computer Science,1700; ,Time series forecasting using hybrid arima and ann models based on DWT Decomposition,2015,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1214,MATEC Web of Conferences,2200; 2500; 1600; ,Intelligent safety transport framework for schools: A review of route planning and tracking systems,2016,in,Providing study background,,
1215,Scientific Data,3309; 1804; 1706; 3304; 1710; 2613; ,"Mapping dominant annual land cover from 2009 to 2013 across Victoria, Australia using satellite imagery",2015,in,Creating a composite dataset,,
1217,AAAI Workshop - Technical Report,2200; ,Towards timely public health decisions to tackle seasonal diseases with open government data,2014,in,main data source for new analysis,,
1218,AAAI Workshop - Technical Report,2200; ,GlobalInferencer: Linking personal social content with data on the web,2011,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1219,"IEEE International Conference on Data Mining Workshops, ICDMW",1712; ,Using Machine Learning to Accelerate Data Wrangling,2017,in,Providing study background,,
1220,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",1710; 3305; ,Geospatial modelling approach for 3D urban densification developments,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1221,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",1710; 3305; ,"Cultural heritage through time: A case study at Hadrian's Wall, United Kingdom",2017,in,main data source for new analysis,,
1222,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",1710; 3305; ,Mapping disturbance dynamics in wet sclerophyll forests using time series Landsat,2016,in,main data source for new analysis,,multi-source
1223,"ASME 2014 8th International Conference on Energy Sustainability, ES 2014 Collocated with the ASME 2014 12th International Conference on Fuel Cell Science, Engineering and Technology",2105; 2102; 2103; ,Understanding the impacts of local policies on distributed photovoltaic market development,2014,in,Providing study background,,
1224,Journal of Hydrologic Engineering,2300; 2312; 2205; 2304; ,Model for designing infiltration basins in tropical and subtropical climates with a focus on unpaved roads,2014,in,Providing study background,,lexingtonky
1225,"ACRS 2015 - 36th Asian Conference on Remote Sensing: Fostering Resilient Growth in Asia, Proceedings",1705; ,Visualization of open data: A case study of climate data,2015,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1226,Journal of Urban Planning and Development,,"Fuzzy multiple criteria decision-making assessment of urban conservation in historic districts: Case study of Wenming Historic Block in Kunming City, China",2017,in,aiding result interpreting,,
1227,Health Promotion Practice,2901; 2739; ,"Health Promotion at the Ballpark: Peanuts, Popcorn, and Mighty Molar",2017,in,Providing study background,,
1228,Revista da Escola de Enfermagem,2900; ,The culture of patient safety from the perspective of the pediatric emergency nursing team,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1229,Journal of Management in Engineering,1803; 1408; 2200; 1410; ,State of private financing in development of highway projects in the United States,2015,in,Providing study background,,
1230,Transportation Research Procedia,,"Analysing impacts of natural disasters on logistics activities: Flood risks and petroleum fuels in Queensland, Australia",2017,in,main data source for new analysis,,
1231,Transportation Research Procedia,,The economic value of bus subsidy,2015,in,main data source for new analysis,,
1232,Proceedings - International Conference on Data Engineering,1712; ,Continuous data cleaning,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1233,2010 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,1712;  1705; ,Domain-Specific Backlinking Services in the Web of Data,2010,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1234,2011 IEEE Symposium on Computational Intelligence for Financial Engineering and Economics (CIFEr),2001; 1702; ,Fundamental analysis powered by Semantic Web,2011,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1235,Agricultural Economics (United Kingdom),,Evaluating price transmission between global agricultural markets and consumer food price indices in the European Union,2016,in,main data source for new analysis,,
1236,Circulation: Cardiovascular Quality and Outcomes,2705; ,Association between Online Physician Ratings and Cardiac Surgery Mortality,2016,in,main data source for new analysis,,
1237,Circulation: Cardiovascular Quality and Outcomes,2705; ,Socioeconomic Deprivation and Survival after Heart Transplantation in England: An Analysis of the United Kingdom Transplant Registry,2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1238,2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT),1702;  1705; ,MAIA: An Event-Based Modular Architecture for Intelligent Agents,2014,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,"edge case, indirectly used data.gov through linked data endpoint"
1239,"2016 5th International Conference on Reliability, Infocom Technologies and Optimization, ICRITO 2016: Trends and Future Directions",1712; 1710; 2611; ,Bucket based data deduplication technique for big data storage system,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1240,"2015 IEEE 2nd International Conference on Recent Trends in Information Systems, ReTIS 2015 - Proceedings",1710; ,IGoSA - A novel framework for analysis of and facilitating government schemes,2015,in,Providing study background,,
1241,Journal of Obstetrics and Gynaecology Canada,2729; ,Pregnancy Outcomes After Assisted Human Reproduction,2014,in,others,,part of a review
1242,Veterinary Therapeutics,3400; ,Seroprevalence of borrelia burgdorferi-specific C6 antibody in dogs before and after implementation of a nonadjuvanted recombinant outer surface protein a vaccine in a rhode Island small animal clinic,2010,in,Providing study background,,
1243,GEOCROWD 2012 - Proceedings of the 1st ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information,1705; 1704; 3305; ,Analysis of user mobility data sources for multi-user context modeling,2012,in,others,,
1244,Structures Congress 2015 - Proceedings of the 2015 Structures Congress,2205; 2215; ,Surface roughness and its effect on wind speed: Modeling using GIS,2015,in,main data source for new analysis,,
1245,"Proceedings of the 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2015",1706; 1705; ,A comparative evaluation of urban fabric detection techniques based on mobile traffic data,2015,in,"used for result evaluation (e.g., as ground truth)",,
1246,"2016 7th International Conference on the Network of the Future, NOF 2016",1705; ,Analysis of mobile user behavior in vehicular social networks,2017,in,main data source for new analysis,,
1247,Canadian Conference on Electrical and Computer Engineering,1701; 2208; ,A novel approach in household electricity consumption forecasting,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1248,IEEE Pacific Visualization Symposium,1712; 1707; 1708; 1704; ,A mobile visual analytics approach for law enforcement situation awareness,2014,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,
1249,European Journal of Pain (United Kingdom),2703; ,"In sickness and in health: A cross-sectional analysis of concordance for musculoskeletal pain in 13,507 couples",2016,in,"ancillary data source for new analysis (e.g., as base map)",,
1250,"2014 International Computer Science and Engineering Conference, ICSEC 2014",1701; ,Entropy-based information fusion for multimodal data,2014,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
1251,"2016 2nd International Conference on Event-Based Control, Communication, and Signal Processing, EBCCSP 2016 - Proceedings",,Discrete-event simulation framework tor developing methods for low voltage network observability enhancement,2016,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
