Item Title,Publication Year,Publication Title,in/out,use types,census,notes,,,,,,,,,,,,,,,
Monitoring data stream reliability in smart city environments,2016,2016 IEEE 3rd World Forum on Internet of Things (WF-IoT),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Data analysis as a web service: A case study using IoT sensor data,2017,"2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
On the Effect of Adaptive and Nonadaptive Analysis of Time-Series Sensory Data,2016,IEEE Internet of Things Journal,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Mining Social Media Content for Crime Prediction,2016,2016 IEEE/WIC/ACM International Conference on Web Intelligence (WI),in,main data source for new analysis,,multi source,,,,,,,,,,,,,,,
Engineering Management Models for Urban Security,2017,IEEE Transactions on Engineering Management,in,main data source for new analysis,,,,,,,,,,,,,,,,,
TripleCloud: An Infrastructure for Exploratory Querying over Web-Scale RDF Data,2011,2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Domain-Specific Backlinking Services in the Web of Data,2010,2010 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Application of Big Data Analytics via Cloud Computing,2016,2016 World Automation Congress (WAC),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
OLAP2DataCube: An Ontowiki plug-in for statistical data publishing,2012,2012 Second International Workshop on Developing Tools as Plug-Ins (TOPI),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
A New Methodology for Storing Consistent Fuzzy Geospatial Data in Big Data Environment,2017,IEEE Transactions on Big Data,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,data.gouv.fr,,,,,,,,,,,,,,,
POIViz: A Fast Interactive Method for Visualizing a Large Collection of Open Datasets,2015,2015 19th International Conference on Information Visualisation,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
STRAD Wheel: Web-Based Library for Visualizing Temporal Data,2017,IEEE Computer Graphics and Applications,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Visual and Interactive Exploration of a Large Collection of Open Datasets,2013,2013 17th International Conference on Information Visualisation,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Cloud data architecture applied to urban management,2016,2016 Eighth International Conference on Knowledge and Systems Engineering (KSE),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
An innovative approach to classify and retrieve text documents using feature extraction and Hierarchical clustering based on ontology,2016,"2016 International Conference on Computing, Analytics and Security Trends (CAST)",in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Performance analysis using J48 decision tree for Indian corporate world,2016,2016 International Conference on Research Advances in Integrated Navigation Systems (RAINS),in,main data source for new analysis,,,,,,,,,,,,,,,,,
Towards Semantically Enabled Next Generation Community Health Information Portals: The PopSciGrid Pilot,2012,2012 45th Hawaii International Conference on System Sciences,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Quantifying Yield Gap of Rice Production in Various Regions of Karnataka,2016,2016 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM),in,main data source for new analysis,,,,,,,,,,,,,,,,,
A combinatorial approach for calculating rail-fly connectivity index in India based on fuzzy logic,2016,2016 Future Technologies Conference (FTC),in,main data source for new analysis,,,,,,,,,,,,,,,,,
Spatio-temporal reasoning and decision support for smart energy systems,2016,2016 IEEE 21st International Conference on Emerging Technologies and Factory Automation (ETFA),in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Multi-modal travel in India: A big data approach for policy analytics,2017,"2017 7th International Conference on Cloud Computing, Data Science & Engineering - Confluence",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Apply Deep Learning Neural Network to Forecast Number of Tourists,2017,2017 31st International Conference on Advanced Information Networking and Applications Workshops (WAINA),in,main data source for new analysis,,data.go.jp,,,,,,,,,,,,,,,
iTrack: A residential energy monitoring system tailored to meet local needs,2015,2015 Fifth International Conference on e-Learning (econf),in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Approach for mapping data to client projects,2016,2016 IEEE Systems and Information Engineering Design Symposium (SIEDS),in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Interoperability Oriented Architecture: The Approach of EPOS for Solid Earth e-Infrastructures,2015,2015 IEEE 11th International Conference on e-Science,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
Measuring change in fuzzy concept lattices,2012,2012 12th UK Workshop on Computational Intelligence (UKCI),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
A Modeling Approach to Big Data Based Recommendation Engine in Modern Health Care Environment,2015,2015 IEEE 39th Annual Computer Software and Applications Conference,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,terrible and confusing writing ,,,,,,,,,,,,,,,
Open Government Data Visualization System to Facilitate Evidence-Based Debate Using a Large-Scale Interactive Display,2014,2014 IEEE 28th International Conference on Advanced Information Networking and Applications,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
DQFIRD: Towards Data Quality-Based Filtering and Ranking of Datasets for Data Portals,2016,2016 13th Web Information Systems and Applications Conference (WISA),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
MAIA: An Event-Based Modular Architecture for Intelligent Agents,2014,2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT),in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,"edge case, indirectly used data.gov through linked data endpoint",,,,,,,,,,,,,,,
Towards Interactive Gathering of DUV-Based Dataset Usage Information,2016,2016 13th Web Information Systems and Applications Conference (WISA),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,edge case. The system is for the OGD and linked open data,,,,,,,,,,,,,,,
Fundamental analysis powered by Semantic Web,2011,2011 IEEE Symposium on Computational Intelligence for Financial Engineering and Economics (CIFEr),in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
BFS and Coloring-Based Parallel Algorithms for Strongly Connected Components and Related Problems,2014,2014 IEEE 28th International Parallel and Distributed Processing Symposium,in,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,,,,,,,,,,,,,,,,
Using semantic similarity model to improve OGC web services matching accuracy,2015,2015 Fourth International Conference on Agro-Geoinformatics (Agro-geoinformatics),in,"used for result evaluation (e.g., as ground truth)",,,,,,,,,,,,,,,,,
Singapore鈥檚 Vehicle Quota System and its impact on motorcycles,2017,Transportation,in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
Crime and immigration: new evidence from England and Wales,2013,IZA Journal of Migration,in,main data source for new analysis,,,,,,,,,,,,,,,,,
The Impact of 7-valent Pneumococcal Conjugate Vaccine on Invasive Pneumococcal Disease: A Literature Review,2013,Advances in Therapy,in,aiding result interpreting,,,,,,,,,,,,,,,,,
Field Survey Following the 28 October 2012 Haida Gwaii Tsunami,2014,Pure and Applied Geophysics,in,main data source for new analysis,,multi-source,,,,,,,,,,,,,,,
The political economy of the disability insurance: theory and evidence of gubernatorial learning,2014,IZA Journal of Labor Policy,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Long-range prediction of Indian summer monsoon rainfall using data mining and statistical approaches,2016,Theoretical and Applied Climatology,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Effects of Landscape Fragmentation and Climate on Lyme Disease Incidence in the Northeastern United States,2013,EcoHealth,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Associations between access to recreational physical activity facilities and body mass index in Scottish adults,2016,BMC Public Health,in,main data source for new analysis,,,,,,,,,,,,,,,,,
Inequality in water supply in India: an assessment using the Gini and Theil indices,2017,"Environment, Development and Sustainability",in,main data source for new analysis,,,,,,,,,,,,,,,,,
Online platform for applying space鈥搕ime scan statistics for prospectively detecting emerging hot spots of dengue fever,2016,International Journal of Health Geographics,in,"Providing innovative services or platforms based on OGD (e.g., an application that aggregates all air pollution information)",,,,,,,,,,,,,,,,,
